User Input,Chatbot Response,Timestamp
Hello,Hey,2025-03-12 19:14:23
Who are you?,I am a chatbot,2025-03-12 19:14:39
What are you good at?,I am a chatbot,2025-03-12 19:14:53
What do you like?,I am a chatbot,2025-03-12 19:15:07
Hello,Hi there,2025-03-12 19:19:21
hello,Hi there,2025-03-12 19:24:03
Hello,Nothing much,2025-03-12 19:49:22
Hello,Nothing much,2025-03-12 19:49:37
Any Joke,Did you hear about the mathematician whoâ€™s afraid of negative numbers? Heâ€™ll stop at nothing to avoid them!,2025-03-12 19:49:49
Hello,Hi there,2025-03-12 19:50:05
Who are you?,My purpose is to assist you,2025-03-12 19:50:14
Say me any joke,Did you hear about the mathematician whoâ€™s afraid of negative numbers? Heâ€™ll stop at nothing to avoid them!,2025-03-12 19:50:32
